model,ade_all,ade_slight,ade_straight,ade_turn,ade_uturn,fde_all,rot_deg,trans_frac
full,0.6097830412915544,0.5842076460352916,0.49820015302168047,0.7745980086109855,0.8472719256804414,1.005728591142391,0.0,0.0
maponly,0.6440374726726276,0.605737486968904,0.5355708508712266,0.8196531090953133,0.8506289927722657,1.0601252841382174,0.0,0.0
obsonly,0.7127124212635466,0.6407122794768153,0.5375161398194042,0.9664777530955546,1.2626589442769143,1.2506358845692476,0.0,0.0
full,0.6100798198388199,0.5857098494107422,0.4983681020098321,0.7776187087459998,0.8277573887615988,1.0052538819448569,10.0,0.03
maponly,0.643040371938102,0.6058874618251128,0.534483567686061,0.8205425239422105,0.8344616153060573,1.0597124824599564,10.0,0.03
obsonly,0.7127124212635466,0.6407122794768153,0.5375161398194042,0.9664777530955546,1.2626589442769143,1.2506358845692476,10.0,0.03
full,0.613938427895864,0.5857662268398095,0.5022407808861351,0.7836913258288846,0.8367341105660348,1.01374223889378,20.0,0.06
maponly,0.6510670383393725,0.619256199138168,0.5385117535381011,0.8307322399814924,0.8429136617134695,1.0776058280223737,20.0,0.06
obsonly,0.7127124212635466,0.6407122794768153,0.5375161398194042,0.9664777530955546,1.2626589442769143,1.2506358845692476,20.0,0.06
full,0.6239423510413531,0.596431948648782,0.5131104260314058,0.7923769545916355,0.8429545396811342,1.0400480180880287,30.0,0.09
maponly,0.6675324015472003,0.6333409516233678,0.5577793621335339,0.84355649256345,0.8647215582226238,1.1161536237536402,30.0,0.09
obsonly,0.7127124212635466,0.6407122794768153,0.5375161398194042,0.9664777530955546,1.2626589442769143,1.2506358845692476,30.0,0.09
full,0.6467878496888668,0.6193929450952412,0.534632773778231,0.8156671969457107,0.8751904707248896,1.0967248789301316,40.0,0.12
maponly,0.7045977571357462,0.6708136600089912,0.6009493376476349,0.8718127813122489,0.8922528205056713,1.1991829125202025,40.0,0.12
obsonly,0.7127124212635466,0.6407122794768153,0.5375161398194042,0.9664777530955546,1.2626589442769143,1.2506358845692476,40.0,0.12
full,0.7263288593888578,0.7107597591240735,0.6213671783987875,0.8748816056955945,0.9467021379977056,1.2803922906586924,60.0,0.18
maponly,0.8061773239894077,0.7826468348284621,0.7222529670653643,0.9369164239999019,0.9665621058785752,1.4228167738728545,60.0,0.18
obsonly,0.7127124212635466,0.6407122794768153,0.5375161398194042,0.9664777530955546,1.2626589442769143,1.2506358845692476,60.0,0.18
full,0.8392704646943305,0.8348360750223359,0.7522362753076008,0.9554758033517635,1.0218238303922627,1.5234027970963886,80.0,0.24
maponly,0.9262027969240394,0.9145645213223272,0.8603010906119548,1.026144252916177,1.0355770813990128,1.6678658111632776,80.0,0.24
obsonly,0.7127124212635466,0.6407122794768153,0.5375161398194042,0.9664777530955546,1.2626589442769143,1.2506358845692476,80.0,0.24
